month_year,totalmemory
 2020-01 ,577072444876.0
 2020-02 ,484276875960.0
 2020-03 ,632433430288.0
 2020-04 ,646932698048.0
 2020-05 ,626106411000.0
 2020-06 ,454619160324.0
 2020-07 ,531333672156.0
 2020-08 ,451309349048.0
 2020-09 ,399854243044.0
 2020-10 ,605187367940.0
 2020-11 ,725041560316.0
 2020-12 ,569199949128.0
 2021-01 ,554899438148.0
 2021-02 ,499572717008.0
 2021-03 ,731796529460.0
 2021-04 ,602902112108.0
 2021-05 ,428009047704.0
