month_year,totalmemory
 2020-01 ,2718883810716.0
 2020-02 ,3352898986876.0
 2020-03 ,3611645688888.0
 2020-04 ,4630946697576.0
 2020-05 ,3530712910536.0
 2020-06 ,3042218098080.0
 2020-07 ,3110496649848.0
 2020-08 ,2732862540916.0
 2020-09 ,1933892523564.0
 2020-10 ,3863182870224.0
 2020-11 ,7608510796488.0
 2020-12 ,3765032569864.0
 2021-01 ,3676149833520.0
 2021-02 ,3573203676632.0
 2021-03 ,3884619408616.0
 2021-04 ,4291342230564.0
 2021-05 ,3996713461440.0
