Unnamed: 0,month_year,totalmemory
75, 2020-01 ,104131391520.0
3014, 2020-03 ,18980911664.0
4301, 2020-04 ,174782547688.0
5745, 2020-05 ,497458020024.0
7180, 2020-06 ,3794600286288.0
8666, 2020-07 ,1842466402728.0
10135, 2020-08 ,7547327444672.0
11396, 2020-09 ,2040765964988.0
12646, 2020-10 ,404185832716.0
14023, 2020-11 ,112360208016.0
17227, 2021-01 ,1318118760.0
17798, 2021-02 ,493682859752.0
