Unnamed: 0,month_year,totalmemory
7182, 2020-06 ,1741069947720.0
8667, 2020-07 ,1815576780024.0
10134, 2020-08 ,8614696967856.0
11389, 2020-09 ,3393760371372.0
12647, 2020-10 ,399195814208.0
14012, 2020-11 ,124087453056.0
17758, 2021-01 ,61429872.0
18312, 2021-02 ,4203934308.0
