history_id,create_time,tool_id,job_memory_gb,cpu_count,system_runtime_sec,real_runtime_sec
67,2021-08-13 21:06:06.275795,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,116.0,29,145,5
67,2021-08-13 21:06:06.22199,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,116.0,29,7656,264
67,2021-08-13 21:06:06.083006,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,116.0,29,1885,65
67,2021-08-13 21:06:06.02725,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,116.0,29,3509,121
67,2021-08-13 21:06:05.961157,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,699,699
66,2021-08-13 21:06:04.860132,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,116.0,29,261,9
66,2021-08-13 21:06:04.802789,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,116.0,29,7772,268
66,2021-08-13 21:06:04.726957,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0,116.0,29,13804,476
66,2021-08-13 21:06:04.655945,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,116.0,29,2030,70
66,2021-08-13 21:06:04.589677,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,116.0,29,5162,178
66,2021-08-13 21:06:04.499569,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5,2.0,1,1109,1109
65,2021-08-13 17:45:51.594995,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,256,16
65,2021-08-13 17:45:51.510368,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,50.0,16,4880,305
65,2021-08-13 17:45:51.41322,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,1568,98
65,2021-08-13 17:45:51.325948,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1,50.0,16,1984,124
65,2021-08-13 17:45:51.235114,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0,50.0,16,8096,506
64,2021-08-13 17:45:51.084575,toolshed.g2.bx.psu.edu/repos/iuc/stringtie/stringtie/2.1.1,50.0,16,80,5
64,2021-08-13 17:45:50.994682,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0,50.0,16,4480,280
64,2021-08-13 17:45:50.877602,toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0,50.0,16,8128,508
64,2021-08-13 17:45:50.76177,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.4.2+galaxy0,50.0,16,1312,82
