tool_name_version,Unnamed: 0,month_year,avg_memory
fasterq_dump/2.10.7+galaxy0,8632, 2020-06 ,131809368.4397002
fasterq_dump/2.10.7+galaxy0,9947, 2020-07 ,131811876.0
fasterq_dump/2.10.7+galaxy0,10547, 2020-08 ,131811876.0
fasterq_dump/2.10.7+galaxy0,11630, 2020-09 ,131811876.0
fasterq_dump/2.10.7+galaxy0,13315, 2020-10 ,124437597.94513716
fasterq_dump/2.10.7+galaxy0,14455, 2020-11 ,131170669.192389
fasterq_dump/2.10.7+galaxy0,17768, 2021-01 ,30714936.0
fasterq_dump/2.10.7+galaxy0,19026, 2021-02 ,87581964.75
