Unnamed: 0,month_year,total_cpu_time
17659, 2021-02 ,  250936462580700258426.00000000000000
18992, 2021-03 ,  787013794836126383196.00000000000000
20400, 2021-04 ,  290438567526701027492.00000000000000
21746, 2021-05 ,  365139519631596065300.00000000000000
