Unnamed: 0,month_year,total_cpu_time
7185, 2020-06 ,   33980695386658782850.00000000000000
8736, 2020-07 ,    2558003814869213019.00000000000000
10172, 2020-08 ,    2777408563552718823.00000000000000
11459, 2020-09 ,     778593208028763544.00000000000000
12649, 2020-10 ,    1844958639706516248.00000000000000
14474, 2020-11 ,         68772666929883.00000000000000
17527, 2021-01 ,           106503796645.00000000000000
18406, 2021-02 ,         31499581320681.00000000000000
