,month_year,numusers,tool_name_version
93, 2021-05 ,      107,gd_filter_gd_snp/1.2.0                                                        
94, 2021-05 ,      106,gd_filter_gd_snp/1.2.0                                                        
95, 2021-05 ,      106,gd_filter_gd_snp/1.2.0                                                        
96, 2021-05 ,      106,gd_filter_gd_snp/1.2.0                                                        
97, 2021-05 ,      105,gd_filter_gd_snp/1.2.0                                                        
98, 2021-05 ,      103,gd_filter_gd_snp/1.2.0                                                        
99, 2021-05 ,      103,gd_filter_gd_snp/1.2.0                                                        
100, 2021-05 ,      101,gd_filter_gd_snp/1.2.0                                                        
101, 2021-05 ,      100,gd_filter_gd_snp/1.2.0                                                        
102, 2021-05 ,       99,gd_filter_gd_snp/1.2.0                                                        
103, 2021-05 ,       99,gd_filter_gd_snp/1.2.0                                                        
104, 2021-05 ,       98,gd_filter_gd_snp/1.2.0                                                        
105, 2021-05 ,       97,gd_filter_gd_snp/1.2.0                                                        
106, 2021-05 ,       92,gd_filter_gd_snp/1.2.0                                                        
107, 2021-05 ,       91,gd_filter_gd_snp/1.2.0                                                        
108, 2021-05 ,       91,gd_filter_gd_snp/1.2.0                                                        
109, 2021-05 ,       91,gd_filter_gd_snp/1.2.0                                                        
110, 2021-05 ,       91,gd_filter_gd_snp/1.2.0                                                        
111, 2021-05 ,       90,gd_filter_gd_snp/1.2.0                                                        
112, 2021-05 ,       88,gd_filter_gd_snp/1.2.0                                                        
113, 2021-05 ,       88,gd_filter_gd_snp/1.2.0                                                        
114, 2021-05 ,       88,gd_filter_gd_snp/1.2.0                                                        
115, 2021-05 ,       87,gd_filter_gd_snp/1.2.0                                                        
116, 2021-05 ,       87,gd_filter_gd_snp/1.2.0                                                        
117, 2021-05 ,       87,gd_filter_gd_snp/1.2.0                                                        
118, 2021-05 ,       86,gd_filter_gd_snp/1.2.0                                                        
119, 2021-05 ,       86,gd_filter_gd_snp/1.2.0                                                        
120, 2021-05 ,       86,gd_filter_gd_snp/1.2.0                                                        
121, 2021-05 ,       85,gd_filter_gd_snp/1.2.0                                                        
122, 2021-05 ,       84,gd_filter_gd_snp/1.2.0                                                        
123, 2021-05 ,       84,gd_filter_gd_snp/1.2.0                                                        
124, 2021-05 ,       83,gd_filter_gd_snp/1.2.0                                                        
125, 2021-05 ,       83,gd_filter_gd_snp/1.2.0                                                        
126, 2021-05 ,       83,gd_filter_gd_snp/1.2.0                                                        
127, 2021-05 ,       82,gd_filter_gd_snp/1.2.0                                                        
128, 2021-05 ,       82,gd_filter_gd_snp/1.2.0                                                        
129, 2021-05 ,       80,gd_filter_gd_snp/1.2.0                                                        
130, 2021-05 ,       80,gd_filter_gd_snp/1.2.0                                                        
131, 2021-05 ,       80,gd_filter_gd_snp/1.2.0                                                        
132, 2021-05 ,       79,gd_filter_gd_snp/1.2.0                                                        
133, 2021-05 ,       79,gd_filter_gd_snp/1.2.0                                                        
134, 2021-05 ,       78,gd_filter_gd_snp/1.2.0                                                        
135, 2021-05 ,       77,gd_filter_gd_snp/1.2.0                                                        
136, 2021-05 ,       77,gd_filter_gd_snp/1.2.0                                                        
137, 2021-05 ,       76,gd_filter_gd_snp/1.2.0                                                        
138, 2021-05 ,       76,gd_filter_gd_snp/1.2.0                                                        
139, 2021-05 ,       75,gd_filter_gd_snp/1.2.0                                                        
140, 2021-05 ,       74,gd_filter_gd_snp/1.2.0                                                        
141, 2021-05 ,       74,gd_filter_gd_snp/1.2.0                                                        
142, 2021-05 ,       74,gd_filter_gd_snp/1.2.0                                                        
143, 2021-05 ,       74,gd_filter_gd_snp/1.2.0                                                        
144, 2021-05 ,       73,gd_filter_gd_snp/1.2.0                                                        
145, 2021-05 ,       72,gd_filter_gd_snp/1.2.0                                                        
146, 2021-05 ,       72,gd_filter_gd_snp/1.2.0                                                        
147, 2021-05 ,       71,gd_filter_gd_snp/1.2.0                                                        
148, 2021-05 ,       71,gd_filter_gd_snp/1.2.0                                                        
149, 2021-05 ,       70,gd_filter_gd_snp/1.2.0                                                        
150, 2021-05 ,       70,gd_filter_gd_snp/1.2.0                                                        
151, 2021-05 ,       69,gd_filter_gd_snp/1.2.0                                                        
152, 2021-05 ,       69,gd_filter_gd_snp/1.2.0                                                        
153, 2021-05 ,       69,gd_filter_gd_snp/1.2.0                                                        
154, 2021-05 ,       69,gd_filter_gd_snp/1.2.0                                                        
155, 2021-05 ,       68,gd_filter_gd_snp/1.2.0                                                        
156, 2021-05 ,       68,gd_filter_gd_snp/1.2.0                                                        
157, 2021-05 ,       68,gd_filter_gd_snp/1.2.0                                                        
158, 2021-05 ,       67,gd_filter_gd_snp/1.2.0                                                        
159, 2021-05 ,       66,gd_filter_gd_snp/1.2.0                                                        
160, 2021-05 ,       66,gd_filter_gd_snp/1.2.0                                                        
