Unnamed: 0,month_year,avg_cpu_time
910, 2020-01 ,110951231207.862
3751, 2020-03 ,133315211524.38889
5238, 2020-04 ,120864233825.18176
6687, 2020-05 ,114037184744.0938
8120, 2020-06 ,101771157148.19585
9630, 2020-07 ,83368961608.02983
11042, 2020-08 ,81569432863.2994
12249, 2020-09 ,69118396124.14824
13489, 2020-10 ,112318881386.27206
14730, 2020-11 ,133161075079.4038
17283, 2021-01 ,161249999576.7
18645, 2021-02 ,156508236209.688
