month_year,avg_memory
 2020-01 ,106359184.91049668
 2020-02 ,94905611.70185971
 2020-03 ,95264718.20629144
 2020-04 ,83651156.30922097
 2020-05 ,78503586.66730861
 2020-06 ,65549413.40157228
 2020-07 ,69260245.71336871
 2020-08 ,74255616.05445026
 2020-09 ,61281208.69580838
 2020-10 ,69298463.37333333
 2020-11 ,70934539.8918167
 2020-12 ,78995019.15344888
 2021-01 ,80665493.17270029
 2021-02 ,95023823.12119876
 2021-03 ,83685851.34824282
 2021-04 ,82271488.26210825
 2021-05 ,89071701.26829267
